purpose,year,net
power generation/non-renewable sources,2005,185195321
social/ welfare services,2006,1499146442
rail transport,2006,697248639
industrial development,2006,9213317
power generation/renewable sources,2006,223553347
general budget support,2006,10120026
power generation/non-renewable sources,2006,616036
telecommunications,2006,198757
air transport,2006,278918
social/ welfare services,2007,395077858
general budget support,2007,3051251
power generation/non-renewable sources,2007,132164
industrial development,2007,2652404
power generation/renewable sources,2007,15479641
telecommunications,2007,243478
rail transport,2007,161756943
air transport,2007,777396
social/ welfare services,2008,709105782
power generation/non-renewable sources,2008,888204
power generation/renewable sources,2008,181083150
rail transport,2008,1945744781
general budget support,2008,5397797
industrial development,2008,5278467
import support (capital goods),2008,71540
air transport,2008,947246
telecommunications,2008,62893
social/ welfare services,2009,709783323
telecommunications,2009,486644
industrial development,2009,7334558
power generation/renewable sources,2009,242645248
power generation/non-renewable sources,2009,86235329
general budget support,2009,23712359
air transport,2009,2206650
rail transport,2009,1726078347
social/ welfare services,2010,260603166
power generation/renewable sources,2010,178425707
industrial development,2010,78456408
general budget support,2010,2935904
power generation/non-renewable sources,2010,1612781
telecommunications,2010,2603981
air transport,2010,1015388
rail transport,2010,2769998813
import support (capital goods),2010,1896
social/ welfare services,2011,128044941
industrial development,2011,15188216
general budget support,2011,10238747
power generation/renewable sources,2011,1036425472
power generation/non-renewable sources,2011,200948
rail transport,2011,436777967
air transport,2011,4105579
telecommunications,2011,774579
social/ welfare services,2012,70213003
air transport,2012,4397101
general budget support,2012,7579870
power generation/renewable sources,2012,389711520
industrial development,2012,2569208
rail transport,2012,1619976788
telecommunications,2012,1611860
power generation/non-renewable sources,2012,49672035
social/ welfare services,2013,78053299
general budget support,2013,1215122
industrial development,2013,4937413
power generation/renewable sources,2013,336238470
power generation/non-renewable sources,2013,250838515
telecommunications,2013,5520572
rail transport,2013,2251372351
air transport,2013,5627464
