donor,recipient,purpose,net
Germany,South Africa,industrial development,937574
Italy,Brazil,industrial development,780657
Switzerland,Colombia,industrial development,743149
Sweden,Poland,industrial development,589007
Italy,Chile,industrial development,569118
France,Chile,industrial development,524894
Belgium,Chile,industrial development,522868
Belgium,Colombia,industrial development,437122
Norway,Chile,industrial development,392917
Korea,Colombia,industrial development,344229
Belgium,India,industrial development,223779
Austria,Saudi Arabia,industrial development,203662
Denmark,Colombia,industrial development,200450
Japan,South Africa,industrial development,185091
Japan,Colombia,industrial development,161290
Korea,Brazil,industrial development,123207
Australia,South Africa,industrial development,91287
Norway,Brazil,industrial development,80831
Spain,Thailand,industrial development,32435
Australia,Thailand,industrial development,26897
Finland,South Africa,industrial development,7517
Belgium,South Africa,industrial development,7238
Japan,India,power generation/non-renewable sources,4087006797
Germany,India,power generation/non-renewable sources,1564258419
United States,Colombia,power generation/non-renewable sources,1530577061
United States,India,power generation/non-renewable sources,1518862446
United States,Korea,power generation/non-renewable sources,1397886659
United States,Brazil,power generation/non-renewable sources,999174363
United Kingdom,India,power generation/non-renewable sources,621381168
United States,Thailand,power generation/non-renewable sources,619621837
France,India,power generation/non-renewable sources,238543251
Kuwait,India,power generation/non-renewable sources,149282062
United States,Saudi Arabia,power generation/non-renewable sources,126190249
United Kingdom,Brazil,power generation/non-renewable sources,98816805
Saudi Arabia,Thailand,power generation/non-renewable sources,95676536
United Kingdom,South Africa,power generation/non-renewable sources,68659652
United States,Chile,power generation/non-renewable sources,67384606
Kuwait,Thailand,power generation/non-renewable sources,65310902
Germany,Thailand,power generation/non-renewable sources,54313899
Germany,Colombia,power generation/non-renewable sources,33166434
Italy,Colombia,power generation/non-renewable sources,30399251
Canada,Thailand,power generation/non-renewable sources,26416174
Sweden,India,power generation/non-renewable sources,26060699
United States,Kuwait,power generation/non-renewable sources,24748632
Japan,Thailand,power generation/non-renewable sources,22364340
Canada,India,power generation/non-renewable sources,19357050
United Kingdom,Colombia,power generation/non-renewable sources,10098161
France,Thailand,power generation/non-renewable sources,9766637
Austria,India,power generation/non-renewable sources,8081078
Switzerland,Thailand,power generation/non-renewable sources,6063103
Canada,Brazil,power generation/non-renewable sources,6054352
Australia,India,power generation/non-renewable sources,3917484
United States,South Africa,power generation/non-renewable sources,1620571
Belgium,India,power generation/non-renewable sources,859652
Netherlands,India,power generation/non-renewable sources,724396
Denmark,Thailand,power generation/non-renewable sources,593723
Belgium,Colombia,power generation/non-renewable sources,471552
United States,Poland,power generation/non-renewable sources,396007
Australia,Thailand,power generation/non-renewable sources,270795
Korea,Thailand,power generation/non-renewable sources,109423
Sweden,South Africa,power generation/non-renewable sources,64374
Canada,Poland,power generation/non-renewable sources,56107
Italy,Brazil,power generation/non-renewable sources,15677
Norway,South Africa,power generation/non-renewable sources,13640
Norway,India,power generation/non-renewable sources,322
Japan,India,rail transport,11519785524
Japan,Thailand,rail transport,5249205847
Japan,Korea,rail transport,903052049
United States,Brazil,rail transport,309560040
Germany,India,rail transport,284985226
United Kingdom,India,rail transport,214915085
Germany,Colombia,rail transport,191557984
France,Colombia,rail transport,187097740
France,India,rail transport,165780050
Germany,Thailand,rail transport,162391210
France,Chile,rail transport,138444885
France,Brazil,rail transport,111245166
France,Thailand,rail transport,109211256
United States,Korea,rail transport,105533013
Saudi Arabia,India,rail transport,79371799
Japan,Chile,rail transport,67201891
Japan,South Africa,rail transport,65416241
Netherlands,India,rail transport,42065271
Germany,Brazil,rail transport,39749314
Australia,Thailand,rail transport,36367087
United States,India,rail transport,35997362
Germany,Korea,rail transport,29015007
United Kingdom,Thailand,rail transport,12874688
Denmark,Thailand,rail transport,5010773
Sweden,India,rail transport,4306879
Austria,Colombia,rail transport,2814444
Australia,India,rail transport,2671116
Japan,Poland,rail transport,2569417
Italy,Thailand,rail transport,1488852
Italy,Poland,rail transport,1342614
France,Poland,rail transport,1262932
Japan,Brazil,rail transport,1249130
France,South Africa,rail transport,1034209
United States,South Africa,rail transport,533570
Belgium,Thailand,rail transport,430774
United Kingdom,Poland,rail transport,411633
United States,Saudi Arabia,rail transport,386553
Canada,India,rail transport,159410
United States,Colombia,rail transport,154388
Spain,Brazil,rail transport,140375
Korea,Thailand,rail transport,111908
Korea,Colombia,rail transport,58854
United States,Poland,rail transport,32633
Japan,Colombia,rail transport,26351
Norway,South Africa,rail transport,24172
France,Korea,rail transport,22092
Spain,India,rail transport,19497
United States,Thailand,rail transport,18742
Canada,Brazil,rail transport,17693
United States,Chile,rail transport,16601
Sweden,Poland,rail transport,383
Germany,Poland,rescheduling and refinancing,13905028436
Japan,India,rescheduling and refinancing,856661065
Belgium,Poland,rescheduling and refinancing,797173879
Germany,India,rescheduling and refinancing,663229570
Germany,Brazil,rescheduling and refinancing,383805718
United States,India,rescheduling and refinancing,260453117
United Kingdom,India,rescheduling and refinancing,215490015
Germany,Chile,rescheduling and refinancing,192130578
France,India,rescheduling and refinancing,166467553
Japan,Brazil,rescheduling and refinancing,116009608
Belgium,Brazil,rescheduling and refinancing,95301312
Italy,India,rescheduling and refinancing,74692017
Netherlands,India,rescheduling and refinancing,47946095
Canada,India,rescheduling and refinancing,43475461
France,Brazil,rescheduling and refinancing,39176633
Belgium,India,rescheduling and refinancing,19171564
France,Chile,rescheduling and refinancing,15930523
Austria,India,rescheduling and refinancing,12981849
United Kingdom,Brazil,rescheduling and refinancing,6537274
United Kingdom,Chile,rescheduling and refinancing,4483183
Germany,Thailand,rescheduling and refinancing,589880
